"past_virus_outbreaks","temperature","chlorophyll","phosphorus","nitrogen","salinity","dinoflagellates","diatoms","salmon_lice_outbreak"
6,9.03,90,7,326,19.6,0.582,60,"neg"
2,4.76,70,32,66,25,0.187,25,"neg"
3,8.68,80,33,130,33.2,0.305,26,"neg"
6,7.98,0,0,0,0,0.189,26,"neg"
9,9.1,70,0,0,34.2,0.652,45,"pos"
3,8.75,58,0,0,31.6,0.151,24,"neg"
3,6.09,60,18,0,21.8,0.444,21,"neg"
1,6.79,64,19,82,18.2,0.299,21,"neg"
3,8.12,74,15,105,26.3,0.107,24,"neg"
0,8.19,66,31,188,30.8,0.493,22,"neg"
0,7.77,65,0,0,24.6,0.66,31,"neg"
2,8.54,60,18,106,29.8,0.717,22,"neg"
0,7.49,76,0,0,45.3,0.686,24,"neg"
1,6.02,66,52,65,41.3,0.917,29,"neg"
6,6.37,0,0,0,29.8,0.501,31,"neg"
1,5.39,56,30,56,33.3,1.251,24,"neg"
4,9.24,0,0,0,32.9,0.302,23,"pos"
0,7.35,90,0,0,29.6,0.197,46,"neg"
0,3.99,60,0,0,21.7,0.735,67,"neg"
0,8.89,80,37,210,36.3,0.804,23,"neg"
3,9.03,92,49,155,36.4,0.968,32,"pos"
8,7,74,40,215,39.4,0.661,43,"pos"
3,8.96,72,25,190,32.4,0.549,27,"pos"
10,6.3,85,32,0,34.9,0.825,56,"pos"
4,5.88,90,23,56,39.5,0.159,25,"neg"
1,6.16,78,29,76,32,0.365,29,"neg"
8,13.02,90,35,225,34.5,0.423,37,"pos"
5,13.09,76,27,207,43.6,1.034,53,"pos"
4,9.17,68,21,166,33.1,0.16,28,"neg"
1,11.48,82,43,67,32.8,0.341,50,"neg"
4,13.23,110,31,0,28.5,0.68,37,"neg"
1,8.12,70,28,0,27.4,0.204,21,"neg"
3,5.88,68,30,106,31.9,0.591,25,"neg"
6,7.98,88,0,0,27.8,0.247,66,"neg"
1,6.16,62,24,44,29.9,0.422,23,"neg"
1,5.88,64,23,115,36.9,0.471,28,"neg"
7,8.68,70,33,215,25.5,0.161,37,"neg"
1,6.79,70,40,0,38.1,0.218,30,"neg"
8,7.7,76,0,0,27.8,0.237,58,"neg"
11,7.21,68,40,0,46.2,0.126,42,"neg"
11,5.95,74,0,0,30.1,0.3,35,"neg"
6,8.75,76,0,0,33.8,0.121,54,"pos"
0,13.86,66,32,274,41.3,0.502,28,"pos"
1,6.09,68,34,77,37.6,0.401,24,"neg"
6,6.93,60,19,54,26.9,0.497,32,"neg"
0,6.37,80,0,0,32.4,0.601,27,"neg"
2,6.65,54,14,88,26.1,0.748,22,"neg"
1,6.93,72,30,18,38.6,0.412,21,"neg"
6,6.44,62,32,126,32,0.085,46,"neg"
4,10.78,72,29,126,31.3,0.338,37,"neg"
0,8.47,66,30,165,34.3,0.203,33,"pos"
3,5.46,70,0,0,32.5,0.27,39,"neg"
2,9.1,96,0,0,22.6,0.268,21,"neg"
3,7.77,58,31,44,29.5,0.43,22,"neg"
2,6.86,60,17,120,34.7,0.198,22,"neg"
1,10.01,86,30,330,30.1,0.892,23,"neg"
1,8.33,44,47,63,35.5,0.28,25,"neg"
6,7.56,44,20,130,24,0.813,35,"neg"
2,8.26,80,0,0,42.9,0.693,21,"pos"
10,9.31,68,0,0,27,0.245,36,"neg"
2,13.79,70,99,0,34.7,0.575,62,"pos"
0,10.57,90,46,0,42.1,0.371,21,"pos"
6,7.63,60,27,0,25,0.206,27,"neg"
12,8.47,78,17,0,26.5,0.259,62,"neg"
8,7,76,0,0,38.7,0.19,42,"neg"
8,8.68,76,24,600,28.7,0.687,52,"pos"
1,6.51,56,11,0,22.5,0.417,22,"neg"
8,10.01,66,0,0,34.9,0.129,41,"pos"
6,7.21,66,0,0,24.3,0.249,29,"neg"
3,12.32,86,27,156,33.3,1.154,52,"pos"
0,5.11,0,0,0,21.1,0.342,25,"neg"
11,7.77,84,40,0,46.8,0.925,45,"pos"
2,7.84,78,50,140,39.4,0.175,24,"neg"
3,9.24,80,0,0,34.4,0.402,44,"pos"
2,5.74,52,22,115,28.5,1.699,25,"neg"
6,8.61,72,45,230,33.6,0.733,34,"neg"
0,13.16,82,14,185,32,0.682,22,"pos"
0,4.69,76,0,0,45.3,0.194,46,"neg"
1,6.23,24,19,25,27.8,0.559,21,"neg"
1,12.11,74,0,0,36.8,0.088,38,"pos"
1,7.63,38,18,120,23.1,0.407,26,"neg"
1,7.56,88,19,0,27.1,0.4,24,"neg"
6,6.72,0,0,0,23.7,0.19,28,"neg"
1,8.68,74,36,0,27.8,0.1,30,"neg"
7,10.5,78,29,126,35.2,0.692,54,"pos"
4,12.81,0,0,0,28.4,0.212,36,"pos"
1,8.68,60,32,0,35.8,0.514,21,"neg"
1,12.67,78,42,293,40,1.258,22,"pos"
1,6.44,62,25,41,19.5,0.482,25,"neg"
0,10.64,82,39,272,41.5,0.27,27,"neg"
1,7.77,62,13,182,24,0.138,23,"neg"
3,7.42,54,21,158,30.9,0.292,24,"neg"
3,12.18,58,22,194,32.9,0.593,36,"pos"
7,11.76,88,42,321,38.2,0.787,40,"pos"
6,7.35,80,28,0,32.5,0.878,26,"neg"
11,9.66,74,26,144,36.1,0.557,50,"pos"
3,7.42,72,0,0,25.8,0.207,27,"neg"
6,8.19,96,0,0,28.7,0.157,30,"neg"
2,4.76,62,13,15,20.1,0.257,23,"neg"
9,7.84,82,24,0,28.2,1.282,50,"pos"
0,8.33,0,0,0,32.4,0.141,24,"pos"
2,7.84,86,42,160,38.4,0.246,28,"neg"
2,6.44,76,20,0,24.2,1.698,28,"neg"
6,12.81,94,0,0,40.8,1.461,45,"neg"
0,6.58,70,27,115,43.5,0.347,21,"neg"
2,7.56,64,0,0,30.8,0.158,21,"neg"
4,6.3,88,47,54,37.7,0.362,29,"neg"
0,8.75,68,0,0,24.7,0.206,21,"neg"
0,9.24,78,0,0,32.4,0.393,21,"neg"
5,8.96,80,0,0,34.6,0.144,45,"neg"
4,6.58,65,22,0,24.7,0.148,21,"neg"
7,7.98,64,0,0,27.4,0.732,34,"pos"
0,7.14,78,40,90,34.5,0.238,24,"neg"
2,7.77,60,0,0,26.2,0.343,23,"neg"
1,8.96,82,17,183,27.5,0.115,22,"neg"
10,6.44,62,0,0,25.9,0.167,31,"neg"
13,7.28,72,0,0,31.2,0.465,38,"pos"
5,7.28,74,0,0,28.8,0.153,48,"neg"
2,6.58,76,18,66,31.6,0.649,23,"neg"
7,6.79,76,32,91,40.9,0.871,32,"pos"
1,7,74,12,46,19.5,0.149,28,"neg"
0,7.14,86,17,105,29.3,0.695,27,"neg"
4,8.96,70,0,0,34.3,0.303,24,"neg"
6,10.29,80,0,0,29.5,0.178,50,"pos"
4,6.3,0,0,0,28,0.61,31,"neg"
3,7.21,72,30,152,27.6,0.73,27,"neg"
2,10.99,74,35,440,39.4,0.134,30,"neg"
1,11.69,74,17,144,23.4,0.447,33,"pos"
0,12.53,50,36,159,37.8,0.455,22,"pos"
11,9.52,84,35,130,28.3,0.26,42,"pos"
0,7.49,60,25,0,26.4,0.133,23,"neg"
1,6.37,54,25,100,25.2,0.234,23,"neg"
1,8.19,60,23,106,33.8,0.466,27,"neg"
5,8.61,74,40,77,34.1,0.269,28,"neg"
2,8.4,54,0,0,26.8,0.455,27,"neg"
1,7.42,70,28,135,34.2,0.142,22,"neg"
2,10.85,52,27,540,38.7,0.24,25,"pos"
2,7.07,58,35,90,21.8,0.155,22,"neg"
1,8.4,80,48,200,38.9,1.162,41,"neg"
11,8.89,106,0,0,39,0.19,51,"neg"
3,5.6,82,31,70,34.2,1.292,27,"pos"
10,11.34,84,0,0,27.7,0.182,54,"neg"
1,13.93,76,43,0,42.9,1.394,22,"pos"
8,11.69,106,46,231,37.6,0.165,43,"pos"
9,10.15,80,46,130,37.9,0.637,40,"pos"
6,8.05,60,39,0,33.7,0.245,40,"pos"
1,7.84,80,45,132,34.8,0.217,24,"neg"
4,10.15,82,18,0,32.5,0.235,70,"pos"
10,7.77,70,27,0,27.5,0.141,40,"pos"
6,6.86,58,33,190,34,0.43,43,"neg"
9,10.78,78,30,100,30.9,0.164,45,"neg"
6,11.55,68,26,168,33.6,0.631,49,"neg"
1,6.93,58,10,0,25.4,0.551,21,"neg"
10,4.76,106,23,49,35.5,0.285,47,"neg"
3,8.61,100,35,240,57.3,0.88,22,"neg"
8,6.37,82,0,0,35.6,0.587,68,"neg"
6,13.65,70,0,0,30.9,0.328,31,"pos"
9,10.92,86,0,0,24.8,0.23,53,"pos"
0,6.51,60,0,0,35.3,0.263,25,"neg"
3,8.47,52,0,0,36,0.127,25,"pos"
2,7.07,58,17,265,24.2,0.614,23,"neg"
2,3.92,56,28,45,24.2,0.332,22,"neg"
0,11.34,76,36,0,49.6,0.364,26,"pos"
0,6.65,64,39,105,44.6,0.366,22,"neg"
4,8.75,80,0,0,32.3,0.536,27,"pos"
5,9.52,82,0,0,0,0.64,69,"neg"
2,9.03,74,26,205,33.2,0.591,25,"neg"
3,9.1,64,0,0,23.1,0.314,22,"neg"
1,7.49,50,19,0,28.3,0.181,29,"neg"
1,9.8,74,26,180,24.1,0.828,23,"neg"
1,10.08,82,46,180,46.1,0.335,46,"pos"
8,7.49,80,0,0,24.6,0.856,34,"neg"
13,11.06,114,0,0,42.3,0.257,44,"pos"
2,8.47,70,32,95,39.1,0.886,23,"neg"
7,9.03,68,49,125,38.5,0.439,43,"pos"
2,6.3,60,0,0,23.5,0.191,25,"neg"
7,9.94,90,24,480,30.4,0.128,43,"pos"
3,11.83,74,19,125,29.9,0.268,31,"pos"
0,6.93,0,0,0,25,0.253,22,"neg"
4,8.89,88,11,155,34.5,0.598,28,"neg"
4,8.26,70,0,0,44.5,0.904,26,"neg"
2,8.54,76,27,200,35.9,0.483,26,"neg"
6,8.75,78,31,0,27.6,0.565,49,"pos"
1,11.76,88,29,0,35,0.905,52,"pos"
2,9.03,0,0,0,38.5,0.304,41,"neg"
4,7.7,76,20,100,28.4,0.118,27,"neg"
6,5.6,80,36,0,39.8,0.177,28,"neg"
10,8.05,0,0,0,0,0.261,30,"pos"
2,8.89,46,21,335,34.4,0.176,22,"neg"
9,11.48,78,0,0,32.8,0.148,45,"pos"
2,6.51,64,32,160,38,0.674,23,"pos"
3,11.06,64,13,387,31.2,0.295,24,"neg"
5,8.82,78,27,22,29.6,0.439,40,"neg"
10,9.03,62,36,0,41.2,0.441,38,"pos"
0,9.38,58,20,291,26.4,0.352,21,"neg"
3,7.14,74,0,0,29.5,0.121,32,"neg"
7,13.09,50,33,392,33.9,0.826,34,"pos"
3,12.11,78,39,185,33.8,0.97,31,"pos"
10,6.58,72,18,0,23.1,0.595,56,"neg"
1,7.56,60,46,178,35.5,0.415,24,"neg"
5,6.79,76,27,0,35.6,0.378,52,"pos"
4,5.81,86,19,0,29.3,0.317,34,"neg"
1,7.98,66,36,200,38.1,0.289,21,"neg"
1,10.43,68,29,127,29.3,0.349,42,"pos"
5,8.19,86,30,105,39.1,0.251,42,"neg"
1,7.77,94,0,0,32.8,0.265,45,"neg"
4,7.84,78,40,0,39.4,0.236,38,"neg"
1,8.12,78,29,180,36.1,0.496,25,"neg"
0,9.87,84,26,0,32.4,0.433,22,"neg"
2,12.25,88,0,0,22.9,0.326,22,"neg"
2,6.44,52,0,0,30.1,0.141,22,"neg"
3,9.1,78,23,79,28.4,0.323,34,"pos"
8,8.4,86,0,0,28.4,0.259,22,"pos"
2,12.18,88,37,120,44.5,0.646,24,"pos"
2,7.42,56,27,165,29,0.426,22,"neg"
2,7.35,75,0,0,23.3,0.56,53,"neg"
4,6.65,60,32,0,35.4,0.284,28,"neg"
0,8.82,86,27,120,27.4,0.515,21,"neg"
8,4.55,72,23,0,32,0.6,42,"neg"
2,6.93,60,17,160,36.6,0.453,21,"neg"
1,7.14,74,0,0,39.5,0.293,42,"pos"
11,8.4,80,37,150,42.3,0.785,48,"pos"
3,7.14,44,20,94,30.8,0.4,26,"neg"
1,7.63,58,18,116,28.5,0.219,22,"neg"
9,9.8,94,0,0,32.7,0.734,45,"pos"
13,10.71,88,37,140,40.6,1.174,39,"neg"
12,7,84,33,105,30,0.488,46,"neg"
1,10.29,94,41,0,49.3,0.358,27,"pos"
1,5.67,74,41,57,46.3,1.096,32,"neg"
3,13.09,70,22,200,36.4,0.408,36,"pos"
6,11.34,62,0,0,24.3,0.178,50,"pos"
4,9.52,70,0,0,31.2,1.182,22,"pos"
1,8.47,78,39,74,39,0.261,28,"neg"
3,7.56,62,24,0,26,0.223,25,"neg"
0,12.67,88,44,510,43.3,0.222,26,"pos"
8,10.78,78,32,0,32.4,0.443,45,"pos"
1,8.96,88,39,110,36.5,1.057,37,"pos"
7,9.59,90,41,0,32,0.391,39,"neg"
0,8.61,72,0,0,36.3,0.258,52,"pos"
1,7.42,76,0,0,37.5,0.197,26,"neg"
6,13.3,92,0,0,35.5,0.278,66,"pos"
2,6.16,58,26,16,28.4,0.766,22,"neg"
9,11.9,74,31,0,44,0.403,43,"pos"
9,6.23,62,0,0,22.5,0.142,33,"neg"
10,7.07,76,48,180,32.9,0.171,63,"neg"
2,8.54,70,27,0,36.8,0.34,27,"neg"
5,8.47,72,23,112,26.2,0.245,30,"neg"
1,8.82,60,0,0,30.1,0.349,47,"pos"
1,6.51,70,31,0,30.4,0.315,23,"neg"
